0 6 1 9 7 8 3 10 4 5 2 	1	0.00	25.50	25.50	212.15	263.14	true
0 6 1 9 7 8 3 10 4 5 2 	2	25.50	43.10	34.06	178.09	280.75	true
0 6 1 9 7 8 3 10 4 5 2 	3	59.55	59.94	26.93	158.17	304.59	true
0 6 1 9 7 8 3 10 4 5 2 	4	101.60	59.94	20.81	137.36	319.71	true
0 6 1 9 7 8 3 10 4 5 2 	5	122.41	63.56	5.39	131.98	323.33	true
0 6 1 9 7 8 3 10 4 5 2 	6	127.80	77.47	23.43	108.55	337.24	true
0 6 1 9 7 8 3 10 4 5 2 	8	196.17	77.47	20.00	65.12	358.75	false
0 6 1 9 7 8 3 4 10 5 2 	8	199.81	77.47	20.00	70.62	367.90	false
0 6 1 9 7 8 3 5 4 10 2 	8	217.12	77.47	20.52	76.00	391.11	false
0 6 1 9 7 8 3 2 4 5 10 	8	255.76	86.35	44.60	40.52	427.23	false
0 6 1 9 7 8 10 3 4 5 2 	8	194.64	77.47	27.07	65.12	364.30	false
0 6 1 9 7 8 10 4 3 5 2 	8	191.21	77.47	20.52	88.98	378.18	false
0 6 1 9 7 8 10 5 4 3 2 	8	197.23	77.47	20.52	83.07	378.29	false
0 6 1 9 7 8 10 2 4 5 3 	8	241.07	86.35	44.60	47.59	419.61	false
0 6 1 9 7 8 4 10 3 5 2 	8	171.23	77.47	23.43	88.98	361.11	false
0 6 1 9 7 8 4 3 10 5 2 	8	178.30	77.47	23.43	70.62	349.81	true
0 6 1 9 7 8 4 3 10 5 2 	9	201.73	77.47	26.02	44.60	349.81	true
0 6 1 9 7 8 4 3 10 5 2 	10	227.75	77.47	44.60	0.00	349.81	true
0 6 1 9 7 8 4 3 10 2 5 	10	271.59	94.92	44.60	0.00	411.11	false
0 6 1 9 7 8 4 3 5 10 2 	9	222.68	77.47	26.02	69.86	396.03	false
0 6 1 9 7 8 4 3 2 5 10 	9	261.32	94.92	44.60	26.02	426.86	false
